Name,Party,State,Start,Twitter
Katie Britt,Republican Party,Alabama,2023-01-03,SenKatieBritt
Tommy Tuberville,Republican Party,Alabama,2021-01-03,SenTuberville
Lisa Murkowski,Republican Party,Alaska,2002-12-20,lisamurkowski
Daniel S. Sullivan,Republican Party,Alaska,2015-01-03,SenDanSullivan
Mark Kelly,Democratic Party,Arizona,2020-12-02,SenMarkKelly
Kyrsten Sinema,Independent,Arizona,2019-01-03,senatorsinema
John Boozman,Republican Party,Arkansas,2011-01-03,JohnBoozman
Tom Cotton,Republican Party,Arkansas,2015-01-03,SenTomCotton
Dianne Feinstein,Democratic Party,California,1992-11-04,senfeinstein
Alex Padilla,Democratic Party,California,2021-01-20,SenAlexPadilla
Michael Bennet,Democratic Party,Colorado,2009-01-22,SenatorBennet
John Hickenlooper,Democratic Party,Colorado,2021-01-03,SenatorHick
Richard Blumenthal,Democratic Party,Connecticut,2011-01-03,SenBlumenthal
Christopher S. Murphy,Democratic Party,Connecticut,2013-01-03,ChrisMurphyCT
Tom Carper,Democratic Party,Delaware,2001-01-03,senatorcarper
Chris Coons,Democratic Party,Delaware,2010-11-15,ChrisCoons
Marco Rubio,Republican Party,Florida,2011-01-03,SenRubioPress
Rick Scott,Republican Party,Florida,2019-01-03,SenRickScott
Jon Ossoff,Democratic Party,Georgia,2021-01-20,SenOssoff
Raphael Warnock,Democratic Party,Georgia,2021-01-20,SenatorWarnock
Mazie K. Hirono,Democratic Party,Hawaii,2013-01-03,maziehirono
Brian E. Schatz,Democratic Party,Hawaii,2012-12-27,SenBrianSchatz
Mike Crapo,Republican Party,Idaho,1999-01-03,mikecrapo
Jim Risch,Republican Party,Idaho,2009-01-03,SenatorRisch
Tammy Duckworth,Democratic Party,Illinois,2017-01-03,SenDuckworth
Dick Durbin,Democratic Party,Illinois,1997-01-03,SenatorDurbin
Mike Braun,Republican Party,Indiana,2019-01-03,SenatorBraun
Todd C. Young,Republican Party,Indiana,2017-01-03,SenToddYoung
Joni Ernst,Republican Party,Iowa,2015-01-03,SenJoniErnst
Chuck Grassley,Republican Party,Iowa,1981-01-03,chuckgrassley
Roger Marshall,Republican Party,Kansas,2021-01-03,RogerMarshallMD
Jerry Moran,Republican Party,Kansas,2011-01-03,JerryMoran
Mitch McConnell,Republican Party,Kentucky,1985-01-03,McConnellPress
Rand Paul,Republican Party,Kentucky,2011-01-03,SenRandPaul
Bill Cassidy,Republican Party,Louisiana,2015-01-03,SenBillCassidy
John Neely Kennedy,Republican Party,Louisiana,2017-01-03,SenJohnKennedy
Susan Collins,Republican Party,Maine,1997-01-03,SenatorCollins
Angus King,Independent,Maine,2013-01-03,SenAngusKing
Ben Cardin,Democratic Party,Maryland,2007-01-03,SenatorCardin
Chris Van Hollen,Democratic Party,Maryland,2017-01-03,ChrisVanHollen
Edward J. Markey,Democratic Party,Massachusetts,2013-07-16,SenMarkey
Elizabeth Warren,Democratic Party,Massachusetts,2013-01-03,SenWarren
Gary Peters,Democratic Party,Michigan,2015-01-03,SenGaryPeters
Debbie Stabenow,Democratic Party,Michigan,2001-01-03,SenStabenow
Amy Klobuchar,Democratic Party,Minnesota,2007-01-03,SenAmyKlobuchar
Tina Smith,Democratic Party,Minnesota,2018-01-03,SenTinaSmith
Cindy Hyde-Smith,Republican Party,Mississippi,2018-04-09,SenHydeSmith
Roger Wicker,Republican Party,Mississippi,2007-12-31,SenatorWicker
Josh Hawley,Republican Party,Missouri,2019-01-03,SenHawleyPress
Eric Schmitt,Republican Party,Missouri,2023-01-03,SenEricSchmitt
Steve Daines,Republican Party,Montana,2015-01-03,SteveDaines
Jon Tester,Democratic Party,Montana,2007-01-03,SenatorTester
Deb Fischer,Republican Party,Nebraska,2013-01-03,SenatorFischer
Pete Ricketts,Republican Party,Nebraska,2023-01-23,SenatorRicketts
Catherine Cortez Masto,Democratic Party,Nevada,2017-01-03,SenCortezMasto
Jacky Rosen,Democratic Party,Nevada,2019-01-03,SenJackyRosen
Maggie Hassan,Democratic Party,New Hampshire,2017-01-03,SenatorHassan
Jeanne Shaheen,Democratic Party,New Hampshire,2009-01-03,SenatorShaheen
Cory Booker,Democratic Party,New Jersey,2013-10-31,SenBooker
Bob Menendez,Democratic Party,New Jersey,2006-01-18,SenatorMenendez
