Name,Party,State,District,Start,Twitter
0,Jerry Carl,Republican Party,Alabama,1,2021-01-03,RepJerryCarl
1,Barry Moore,Republican Party,Alabama,2,2021-01-03,RepBarryMoore
2,Mike Rogers,Republican Party,Alabama,3,2003-01-03,RepMikeRogersAL
3,Robert Aderholt,Republican Party,Alabama,4,1997-01-03,Robert_Aderholt
4,Dale Strong,Republican Party,Alabama,5,2023-01-03,strongalabama
5,Gary Palmer,Republican Party,Alabama,6,2015-01-03,USRepGaryPalmer
6,Terri Sewell,Democratic Party,Alabama,7,2011-01-03,RepTerriSewell
7,Mary Peltola,Democratic Party,Alaska,1,2022-09-13,Rep_Peltola
8,Aumua Amata Radewagen,Republican Party,American Samoa,1,2015-01-03,repamata
9,David Schweikert,Republican Party,Arizona,1,2023-01-03,RepDavid
10,Eli Crane,Republican Party,Arizona,2,2023-01-03,EliCraneAZ
11,Ruben Gallego,Democratic Party,Arizona,3,2023-01-03,RepRubenGallego
12,Greg Stanton,Democratic Party,Arizona,4,2023-01-03,RepGregStanton
13,Andy Biggs,Republican Party,Arizona,5,2017-01-03,RepAndyBiggsAZ
14,Juan Ciscomani,Republican Party,Arizona,6,2023-01-03,juanciscomani
15,Raúl Grijalva,Democratic Party,Arizona,7,2023-01-03,RepRaulGrijalva
16,Debbie Lesko,Republican Party,Arizona,8,2018-05-07,RepDLesko
17,Paul Gosar,Republican Party,Arizona,9,2023-01-03,RepGosar
18,Rick Crawford,Republican Party,Arkansas,1,2011-01-03,RepRickCrawford
19,French Hill,Republican Party,Arkansas,2,2015-01-03,RepFrenchHill
20,Steve Womack,Republican Party,Arkansas,3,2011-01-03,rep_stevewomack
21,Bruce Westerman,Republican Party,Arkansas,4,2015-01-03,RepWesterman
22,Doug LaMalfa,Republican Party,California,1,2013-01-03,RepLaMalfa
23,Jared Huffman,Democratic Party,California,2,2013-01-03,RepHuffman
24,Kevin Kiley,Republican Party,California,3,2023-01-03,KevinKileyCA
25,Mike Thompson,Democratic Party,California,4,2023-01-03,RepThompson
26,Tom McClintock,Republican Party,California,5,2023-01-03,RepMcClintock
27,Ami Bera,Democratic Party,California,6,2023-01-03,RepBera
28,Doris Matsui,Democratic Party,California,7,2023-01-03,DorisMatsui
29,John Garamendi,Democratic Party,California,8,2023-01-03,RepGaramendi
30,Josh Harder,Democratic Party,California,9,2023-01-03,RepJoshHarder
31,Mark DeSaulnier,Democratic Party,California,10,2023-01-03,RepDeSaulnier
32,Nancy Pelosi,Democratic Party,California,11,2023-01-03,SpeakerPelosi
33,Barbara Lee,Democratic Party,California,12,2023-01-03,RepBarbaraLee
34,John Duarte,Republican Party,California,13,2023-01-03,
35,Eric Swalwell,Democratic Party,California,14,2023-01-03,RepSwalwell
36,Kevin Mullin,Democratic Party,California,15,2023-01-03,kevinmullin
37,Anna Eshoo,Democratic Party,California,16,2023-01-03,RepAnnaEshoo
38,Ro Khanna,Democratic Party,California,17,2017-01-03,RepRoKhanna
39,Zoe Lofgren,Democratic Party,California,18,2023-01-03,RepZoeLofgren
40,Jimmy Panetta,Democratic Party,California,19,2023-01-03,RepJimmyPanetta
41,Kevin McCarthy,Republican Party,California,20,2023-01-03,SpeakerMcCarthy
42,Jim Costa,Democratic Party,California,21,2023-01-03,RepJimCosta
43,David G. Valadao,Republican Party,California,22,2023-01-03,RepDavidValadao
44,Jay Obernolte,Republican Party,California,23,2023-01-03,JayObernolte
45,Salud Carbajal,Democratic Party,California,24,2017-01-03,RepCarbajal
46,Raul Ruiz,Democratic Party,California,25,2023-01-03,repraulruizmd
47,Julia Brownley,Democratic Party,California,26,2013-01-03,RepBrownley
48,Mike Garcia,Republican Party,California,27,2023-01-03,RepMikeGarcia
49,Judy Chu,Democratic Party,California,28,2023-01-03,RepJudyChu
50,Tony Cárdenas,Democratic Party,California,29,2013-01-03,RepCardenas
51,Adam Schiff,Democratic Party,California,30,2023-01-03,RepAdamSchiff
52,Grace Napolitano,Democratic Party,California,31,2023-01-03,gracenapolitano
53,Brad Sherman,Democratic Party,California,32,2023-01-03,BradSherman
54,Pete Aguilar,Democratic Party,California,33,2023-01-03,RepPeteAguilar
55,Jimmy Gomez,Democratic Party,California,34,2017-07-11,RepJimmyGomez
56,Norma Torres,Democratic Party,California,35,2015-01-03,NormaJTorres
57,Ted Lieu,Democratic Party,California,36,2023-01-03,RepTedLieu
58,Sydney Kamlager,Democratic Party,California,37,2023-01-03,sydneykamlager
59,Linda Sánchez,Democratic Party,California,38,2013-01-03,RepLindaSanchez
60,Mark Takano,Democratic Party,California,39,2023-01-03,RepMarkTakano
