Name,Party,State,District,Start,Twitter
Jerry Carl,Republican Party,Alabama,1,2021-01-03,RepJerryCarl
Barry Moore,Republican Party,Alabama,2,2021-01-03,RepBarryMoore
Mike Rogers,Republican Party,Alabama,3,2003-01-03,RepMikeRogersAL
Robert Aderholt,Republican Party,Alabama,4,1997-01-03,Robert_Aderholt
Dale Strong,Republican Party,Alabama,5,2023-01-03,strongalabama
Gary Palmer,Republican Party,Alabama,6,2015-01-03,USRepGaryPalmer
Terri Sewell,Democratic Party,Alabama,7,2011-01-03,RepTerriSewell
Mary Peltola,Democratic Party,Alaska,1,2022-09-13,Rep_Peltola
Aumua Amata Radewagen,Republican Party,American Samoa,1,2015-01-03,repamata
David Schweikert,Republican Party,Arizona,1,2023-01-03,RepDavid
Eli Crane,Republican Party,Arizona,2,2023-01-03,EliCraneAZ
Ruben Gallego,Democratic Party,Arizona,3,2023-01-03,RepRubenGallego
Greg Stanton,Democratic Party,Arizona,4,2023-01-03,RepGregStanton
Andy Biggs,Republican Party,Arizona,5,2017-01-03,RepAndyBiggsAZ
Juan Ciscomani,Republican Party,Arizona,6,2023-01-03,juanciscomani
Raúl Grijalva,Democratic Party,Arizona,7,2023-01-03,RepRaulGrijalva
Debbie Lesko,Republican Party,Arizona,8,2018-05-07,RepDLesko
Paul Gosar,Republican Party,Arizona,9,2023-01-03,RepGosar
Rick Crawford,Republican Party,Arkansas,1,2011-01-03,RepRickCrawford
French Hill,Republican Party,Arkansas,2,2015-01-03,RepFrenchHill
Steve Womack,Republican Party,Arkansas,3,2011-01-03,rep_stevewomack
Bruce Westerman,Republican Party,Arkansas,4,2015-01-03,RepWesterman
Doug LaMalfa,Republican Party,California,1,2013-01-03,RepLaMalfa
Jared Huffman,Democratic Party,California,2,2013-01-03,RepHuffman
Kevin Kiley,Republican Party,California,3,2023-01-03,KevinKileyCA
Mike Thompson,Democratic Party,California,4,2023-01-03,RepThompson
Tom McClintock,Republican Party,California,5,2023-01-03,RepMcClintock
Ami Bera,Democratic Party,California,6,2023-01-03,RepBera
Doris Matsui,Democratic Party,California,7,2023-01-03,DorisMatsui
John Garamendi,Democratic Party,California,8,2023-01-03,RepGaramendi
Josh Harder,Democratic Party,California,9,2023-01-03,RepJoshHarder
Mark DeSaulnier,Democratic Party,California,10,2023-01-03,RepDeSaulnier
Nancy Pelosi,Democratic Party,California,11,2023-01-03,SpeakerPelosi
Barbara Lee,Democratic Party,California,12,2023-01-03,RepBarbaraLee
John Duarte,Republican Party,California,13,2023-01-03,
Eric Swalwell,Democratic Party,California,14,2023-01-03,RepSwalwell
Kevin Mullin,Democratic Party,California,15,2023-01-03,kevinmullin
Anna Eshoo,Democratic Party,California,16,2023-01-03,RepAnnaEshoo
Ro Khanna,Democratic Party,California,17,2017-01-03,RepRoKhanna
Zoe Lofgren,Democratic Party,California,18,2023-01-03,RepZoeLofgren
Jimmy Panetta,Democratic Party,California,19,2023-01-03,RepJimmyPanetta
Kevin McCarthy,Republican Party,California,20,2023-01-03,SpeakerMcCarthy
Jim Costa,Democratic Party,California,21,2023-01-03,RepJimCosta
David G. Valadao,Republican Party,California,22,2023-01-03,RepDavidValadao
