,Name,Party,State,District,Start,Twitter
0,Jerry Carl,Republican Party,Alabama,1,"January 3, 2021",RepJerryCarl
1,Barry Moore,Republican Party,Alabama,2,"January 3, 2021",RepBarryMoore
2,Mike Rogers,Republican Party,Alabama,3,"January 3, 2003",RepMikeRogersAL
3,Robert Aderholt,Republican Party,Alabama,4,"January 3, 1997",Robert_Aderholt
4,Dale Strong,Republican Party,Alabama,5,"January 3, 2023",strongalabama
5,Gary Palmer,Republican Party,Alabama,6,"January 3, 2015",USRepGaryPalmer
6,Terri Sewell,Democratic Party,Alabama,7,"January 3, 2011",RepTerriSewell
7,Mary Peltola,Democratic Party,Alaska,A,"September 13, 2022",Rep_Peltola
8,Aumua Amata Radewagen,Republican Party,American Samoa,A,"January 3, 2015",repamata
9,David Schweikert,Republican Party,Arizona,1,"January 3, 2023",RepDavid
10,Eli Crane,Republican Party,Arizona,2,"January 3, 2023",EliCraneAZ
11,Ruben Gallego,Democratic Party,Arizona,3,"January 3, 2023",RepRubenGallego
12,Greg Stanton,Democratic Party,Arizona,4,"January 3, 2023",RepGregStanton
13,Andy Biggs,Republican Party,Arizona,5,"January 3, 2017",RepAndyBiggsAZ
14,Juan Ciscomani,Republican Party,Arizona,6,"January 3, 2023",juanciscomani
15,Raúl Grijalva,Democratic Party,Arizona,7,"January 3, 2023",RepRaulGrijalva
16,Debbie Lesko,Republican Party,Arizona,8,"May 7, 2018",RepDLesko
17,Paul Gosar,Republican Party,Arizona,9,"January 3, 2023",RepGosar
18,Rick Crawford,Republican Party,Arkansas,1,"January 3, 2011",RepRickCrawford
19,French Hill,Republican Party,Arkansas,2,"January 3, 2015",RepFrenchHill
20,Steve Womack,Republican Party,Arkansas,3,"January 3, 2011",rep_stevewomack
21,Bruce Westerman,Republican Party,Arkansas,4,"January 3, 2015",RepWesterman
22,Doug LaMalfa,Republican Party,California,1,"January 3, 2013",RepLaMalfa
23,Jared Huffman,Democratic Party,California,2,"January 3, 2013",RepHuffman
24,Kevin Kiley,Republican Party,California,3,"January 3, 2023",KevinKileyCA
25,Mike Thompson,Democratic Party,California,4,"January 3, 2023",RepThompson
26,Tom McClintock,Republican Party,California,5,"January 3, 2023",RepMcClintock
27,Ami Bera,Democratic Party,California,6,"January 3, 2023",RepBera
28,Doris Matsui,Democratic Party,California,7,"January 3, 2023",DorisMatsui
29,John Garamendi,Democratic Party,California,8,"January 3, 2023",RepGaramendi
30,Josh Harder,Democratic Party,California,9,"January 3, 2023",RepJoshHarder
31,Mark DeSaulnier,Democratic Party,California,10,"January 3, 2023",RepDeSaulnier
32,Nancy Pelosi,Democratic Party,California,11,"January 3, 2023",SpeakerPelosi
33,Barbara Lee,Democratic Party,California,12,"January 3, 2023",RepBarbaraLee
34,John Duarte,Republican Party,California,13,"January 3, 2023",
35,Eric Swalwell,Democratic Party,California,14,"January 3, 2023",RepSwalwell
36,Kevin Mullin,Democratic Party,California,15,"January 3, 2023",kevinmullin
37,Anna Eshoo,Democratic Party,California,16,"January 3, 2023",RepAnnaEshoo
38,Ro Khanna,Democratic Party,California,17,"January 3, 2017",RepRoKhanna
39,Zoe Lofgren,Democratic Party,California,18,"January 3, 2023",RepZoeLofgren
40,Jimmy Panetta,Democratic Party,California,19,"January 3, 2023",RepJimmyPanetta
41,Kevin McCarthy,Republican Party,California,20,"January 3, 2023",SpeakerMcCarthy
42,Jim Costa,Democratic Party,California,21,"January 3, 2023",RepJimCosta
43,David G. Valadao,Republican Party,California,22,"January 3, 2023",RepDavidValadao
44,Jay Obernolte,Republican Party,California,23,"January 3, 2023",JayObernolte
45,Salud Carbajal,Democratic Party,California,24,"January 3, 2017",RepCarbajal
