Name,Party,State,Start,Twitter
0,Katie Britt,Republican Party,Alabama,2023-01-03,SenKatieBritt
1,Tommy Tuberville,Republican Party,Alabama,2021-01-03,SenTuberville
2,Lisa Murkowski,Republican Party,Alaska,2002-12-20,lisamurkowski
3,Daniel S. Sullivan,Republican Party,Alaska,2015-01-03,SenDanSullivan
4,Mark Kelly,Democratic Party,Arizona,2020-12-02,SenMarkKelly
5,Kyrsten Sinema,Independent,Arizona,2019-01-03,senatorsinema
6,John Boozman,Republican Party,Arkansas,2011-01-03,JohnBoozman
7,Tom Cotton,Republican Party,Arkansas,2015-01-03,SenTomCotton
8,Dianne Feinstein,Democratic Party,California,1992-11-04,senfeinstein
9,Alex Padilla,Democratic Party,California,2021-01-20,SenAlexPadilla
10,Michael Bennet,Democratic Party,Colorado,2009-01-22,SenatorBennet
11,John Hickenlooper,Democratic Party,Colorado,2021-01-03,SenatorHick
12,Richard Blumenthal,Democratic Party,Connecticut,2011-01-03,SenBlumenthal
13,Christopher S. Murphy,Democratic Party,Connecticut,2013-01-03,ChrisMurphyCT
14,Tom Carper,Democratic Party,Delaware,2001-01-03,senatorcarper
15,Chris Coons,Democratic Party,Delaware,2010-11-15,ChrisCoons
16,Marco Rubio,Republican Party,Florida,2011-01-03,SenRubioPress
17,Rick Scott,Republican Party,Florida,2019-01-03,SenRickScott
18,Jon Ossoff,Democratic Party,Georgia,2021-01-20,SenOssoff
19,Raphael Warnock,Democratic Party,Georgia,2021-01-20,SenatorWarnock
20,Mazie K. Hirono,Democratic Party,Hawaii,2013-01-03,maziehirono
21,Brian E. Schatz,Democratic Party,Hawaii,2012-12-27,SenBrianSchatz
22,Mike Crapo,Republican Party,Idaho,1999-01-03,mikecrapo
23,Jim Risch,Republican Party,Idaho,2009-01-03,SenatorRisch
24,Tammy Duckworth,Democratic Party,Illinois,2017-01-03,SenDuckworth
25,Dick Durbin,Democratic Party,Illinois,1997-01-03,SenatorDurbin
26,Mike Braun,Republican Party,Indiana,2019-01-03,SenatorBraun
27,Todd C. Young,Republican Party,Indiana,2017-01-03,SenToddYoung
28,Joni Ernst,Republican Party,Iowa,2015-01-03,SenJoniErnst
29,Chuck Grassley,Republican Party,Iowa,1981-01-03,chuckgrassley
30,Roger Marshall,Republican Party,Kansas,2021-01-03,RogerMarshallMD
31,Jerry Moran,Republican Party,Kansas,2011-01-03,JerryMoran
32,Mitch McConnell,Republican Party,Kentucky,1985-01-03,McConnellPress
33,Rand Paul,Republican Party,Kentucky,2011-01-03,SenRandPaul
34,Bill Cassidy,Republican Party,Louisiana,2015-01-03,SenBillCassidy
35,John Neely Kennedy,Republican Party,Louisiana,2017-01-03,SenJohnKennedy
36,Susan Collins,Republican Party,Maine,1997-01-03,SenatorCollins
37,Angus King,Independent,Maine,2013-01-03,SenAngusKing
38,Ben Cardin,Democratic Party,Maryland,2007-01-03,SenatorCardin
39,Chris Van Hollen,Democratic Party,Maryland,2017-01-03,ChrisVanHollen
40,Edward J. Markey,Democratic Party,Massachusetts,2013-07-16,SenMarkey
41,Elizabeth Warren,Democratic Party,Massachusetts,2013-01-03,SenWarren
42,Gary Peters,Democratic Party,Michigan,2015-01-03,SenGaryPeters
43,Debbie Stabenow,Democratic Party,Michigan,2001-01-03,SenStabenow
44,Amy Klobuchar,Democratic Party,Minnesota,2007-01-03,SenAmyKlobuchar
45,Tina Smith,Democratic Party,Minnesota,2018-01-03,SenTinaSmith
46,Cindy Hyde-Smith,Republican Party,Mississippi,2018-04-09,SenHydeSmith
47,Roger Wicker,Republican Party,Mississippi,2007-12-31,SenatorWicker
48,Josh Hawley,Republican Party,Missouri,2019-01-03,SenHawleyPress
49,Eric Schmitt,Republican Party,Missouri,2023-01-03,SenEricSchmitt
50,Steve Daines,Republican Party,Montana,2015-01-03,SteveDaines
51,Jon Tester,Democratic Party,Montana,2007-01-03,SenatorTester
52,Deb Fischer,Republican Party,Nebraska,2013-01-03,SenatorFischer
53,Pete Ricketts,Republican Party,Nebraska,2023-01-23,SenatorRicketts
54,Catherine Cortez Masto,Democratic Party,Nevada,2017-01-03,SenCortezMasto
55,Jacky Rosen,Democratic Party,Nevada,2019-01-03,SenJackyRosen
56,Maggie Hassan,Democratic Party,New Hampshire,2017-01-03,SenatorHassan
57,Jeanne Shaheen,Democratic Party,New Hampshire,2009-01-03,SenatorShaheen
58,Cory Booker,Democratic Party,New Jersey,2013-10-31,SenBooker
59,Bob Menendez,Democratic Party,New Jersey,2006-01-18,SenatorMenendez
60,Martin Heinrich,Democratic Party,New Mexico,2013-01-03,martinheinrich
61,Ben Ray Luján,Democratic Party,New Mexico,2021-01-03,SenatorLujan
62,Kirsten Gillibrand,Democratic Party,New York,2009-01-26,gillibrandny
63,Chuck Schumer,Democratic Party,New York,1999-01-03,SenSchumer
64,Ted Budd,Republican Party,North Carolina,2023-01-03,SenTedBuddNC
65,Thom Tillis,Republican Party,North Carolina,2015-01-03,SenThomTillis
66,Kevin Cramer,Republican Party,North Dakota,2019-01-03,SenKevinCramer
67,John Hoeven,Republican Party,North Dakota,2011-01-03,SenJohnHoeven
68,Sherrod Brown,Democratic Party,Ohio,2007-01-03,SenSherrodBrown
69,J.D. Vance,Republican Party,Ohio,2023-01-03,JDVance1
70,James Lankford,Republican Party,Oklahoma,2015-01-03,SenatorLankford
71,Markwayne Mullin,Republican Party,Oklahoma,2023-01-11,SenMullin
72,Jeff Merkley,Democratic Party,Oregon,2009-01-03,SenJeffMerkley
73,Ron Wyden,Democratic Party,Oregon,1996-01-30,RonWyden
74,Bob Casey Jr.,Democratic Party,Pennsylvania,2007-01-03,SenBobCasey
75,John Fetterman,Democratic Party,Pennsylvania,2023-01-03,FettermanLt
76,Jack Reed,Democratic Party,Rhode Island,1997-01-03,senjackreed
77,Sheldon Whitehouse,Democratic Party,Rhode Island,2007-01-03,SenWhitehouse
78,Lindsey Graham,Republican Party,South Carolina,2003-01-03,LindseyGrahamSC
79,Tim Scott,Republican Party,South Carolina,2013-01-02,SenatorTimScott
80,Mike Rounds,Republican Party,South Dakota,2015-01-03,SenatorRounds
81,John Thune,Republican Party,South Dakota,2005-01-03,senjohnthune
82,Marsha Blackburn,Republican Party,Tennessee,2019-01-03,MarshaBlackburn
83,Bill Hagerty,Republican Party,Tennessee,2021-01-03,SenatorHagerty
84,John Cornyn,Republican Party,Texas,2002-12-02,JohnCornyn
85,Ted Cruz,Republican Party,Texas,2013-01-03,SenTedCruz
86,Mike Lee,Republican Party,Utah,2011-01-03,SenMikeLee
87,Mitt Romney,Republican Party,Utah,2019-01-03,SenatorRomney
88,Bernie Sanders,Independent,Utah,2019-01-03,SenSanders
89,Peter Welch,Democratic Party,Vermont,2023-01-03,PeterWelch
90,Tim Kaine,Democratic Party,Virginia,2013-01-03,timkaine
91,Mark Warner,Democratic Party,Virginia,2009-01-03,MarkWarner
92,Maria Cantwell,Democratic Party,Washington,2001-01-03,SenatorCantwell
93,Patty Murray,Democratic Party,Washington,1993-01-03,PattyMurray
94,Shelley Moore Capito,Republican Party,West Virginia,2015-01-03,SenCapito
95,Joe Manchin III,Democratic Party,West Virginia,2010-11-15,Sen_JoeManchin
96,Tammy Baldwin,Democratic Party,Wisconsin,2013-01-03,SenatorBaldwin
97,Ronald Harold Johnson,Republican Party,Wisconsin,2011-01-03,SenRonJohnson
98,John Barrasso,Republican Party,Wyoming,2007-06-25,senjohnbarrasso
99,Cynthia Lummis,Republican Party,Wyoming,2021-01-03,SenLummis
